book_id,title,ISBN,synopsis,publisher_id,year
91,The Hobbit,,"In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort.",66,2002
92,"Bonhoeffer: Pastor, Martyr, Prophet, Spy",9781595551382,"As Adolf Hitler and the Nazis seduced a nation, bullied a continent, and attempted to exterminate the Jews of Europe, a small number of dissidents and saboteurs worked to dismantle the Third Reich from the inside. One of these was Dietrich Bonhoeffer--a pastor and author, known as much for such spiritual classics as ""The Cost of Discipleship ""and ""Life Together,"" as for his 1945 execution in a concentration camp for his part in the plot to assassinate Adolf Hitler.",67,2010
93,A People's History of the United States,9780060838652,"In the book, Zinn presented a different side of history from the more traditional ""fundamental nationalist glorification of country"".",48,1995
94,Throne of Glass,9781639730940,An alternative cover edition for this ISBN can be found here.,68,2023
95,The Rise of Theodore Roosevelt,9780375756788,Selected by the Modern Library as one of the 100 best nonfiction books of all time,69,2001
96,The Martian Chronicles,9780553278224,"The strange and wonderful tale of man’s experiences on Mars, filled with intense images and astonishing visions. Now part of the Voyager Classics collection.",70,1984
97,The Final Empire,9780765311788,"What if the whole world were a dead, blasted wasteland?",33,2006
98,Night,,"Born in the town of Sighet, Transylvania, Elie Wiesel was a teenager when he and his family were taken from their home in 1944 to Auschwitz concentration camp, and then to Buchenwald. Night is the terrifying record of Elie Wiesel's memories of the death of his family, the death of his own innocence, and his despair as a deeply observant Jew confronting the absolute evil of man. This new translation by his wife and most frequent translator, Marion Wiesel, corrects important details and presents the most accurate rendering in English of Elie Wiesel's testimony to what happened in the camps and of his unforgettable message that this horror must simply never be allowed to happen again.",71,2006
99,Catching Fire,9780439023498,Sparks are igniting.,72,2009
100,On Becoming a Person: A Therapist's View of Psychotherapy,9780395755310,"The late Carl Rogers, founder of the humanistic psychology movement, revolutionized psychotherapy with his concept of ""client-centered therapy."" His influence has spanned decades, but that influence has become so much a part of mainstream psychology that the ingenious nature of his work has almost been forgotten. A new introduction by Peter Kramer sheds light on the significance of Dr. Rogers's work today. New discoveries in the field of psychopharmacology, especially that of the antidepressant Prozac, have spawned a quick-fix drug revolution that has obscured the psychotherapeutic relationship. As the pendulum slowly swings back toward an appreciation of the therapeutic encounter, Dr. Rogers's ""client-centered therapy"" becomes particularly timely and important.",37,1995
101,Team of Rivals: The Political Genius of Abraham Lincoln,,Winner of the Lincoln Prize,2,2006
102,Washington: A Life,9781594202667,"The celebrated Ron Chernow provides a richly nuanced portrait of the father of America. With a breadth and depth matched by no other one-volume life, he carries the reader through Washington's troubled boyhood, his precocious feats in the French and Indian Wars, his creation of Mount Vernon, his heroic exploits with the Continental Army, his presiding over the Constitutional Convention and his magnificent performance as America's first president.",3,2010
103,At Home: A Short History of Private Life,9780767919388,“Houses aren’t refuges from history. They are where history ends up.”,73,2010
104,The Diary of a Young Girl,,"Discovered in the attic in which she spent the last years of her life, Anne Frank’s remarkable diary has become a world classic—a powerful reminder of the horrors of war and an eloquent testament to the human spirit.",30,1993
105,New Moon,,There is an alternate cover edition for ISBN13 9780316160193 here.,46,2006
106,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,9780316322409,I come from a country that was created at midnight. When I almost died it was just after midday.,46,2013
107,The Varieties of Religious Experience,9781402199035,"""I am neither a theologian, nor a scholar learned in the history of religions, nor an anthropologist. Psychology is the only branch of learning in which I am particularly versed. To the psychologist the religious propensities of man must be at least as interesting as any other of the facts pertaining to his mental constitution. It would seem, therefore, as a psychologist, the natural thing for me would be to invite you to a descriptive survey of those religious propensities.""",74,2000
108,The Red Tent,9780312353766,"Her name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons. Told in Dinah's voice, this novel reveals the traditions and turmoils of ancient womanhood—the world of the red tent. It begins with the story of her mothers—Leah, Rachel, Zilpah, and Bilhah—the four wives of Jacob. They love Dinah and give her gifts that sustain her through a hard-working youth, a calling to midwifery, and a new home in a foreign land. Dinah's story reaches out from a remarkable period of early history and creates an intimate connection with the past. Deeply affecting, The Red Tent combines rich storytelling with a valuable achievement in modern fiction: a new view of biblical women's society.",75,1997
109,Modern Man in Search of a Soul,9780156612067,A provocative and enlightening look at spiritual unease and its contribution to the void in modern civilization,63,1955
110,A Grief Observed,,"Written with love, humility, and faith, this brief but poignant volume was first published in 1961 and concerns the death of C. S. Lewis's wife, the American-born poet Joy Davidman. In her introduction to this new edition, Madeleine L'Engle writes: ""I am grateful to Lewis for having the courage to yell, to doubt, to kick at God in angry violence. This is a part of a healthy grief which is not often encouraged. It is helpful indeed that C. S. Lewis, who has been such a successful apologist for Christianity, should have the courage to admit doubt about what he has so superbly proclaimed. It gives us permission to admit our own doubts, our own angers and anguishes, and to know that they are part of the soul's growth.""",76,2015
111,A Wrinkle in Time,9781250153272,It was a dark and stormy night.,77,2017
112,A Dance with Dragons,,Alternate cover edition of ASIN B004XISI4A,30,2011
113,Frankenstein: The 1818 Text,,This is a previously-published edition of ISBN 9780143131847.,78,2018
114,John Adams,9780743223133,"The enthralling, often surprising story of John Adams, one of the most important and fascinating Americans who ever lived.",79,2001
115,The Unhoneymooners,,"Olive is always unlucky: in her career, in love, in…well, everything. Her identical twin sister Ami, on the other hand, is probably the luckiest person in the world. Her meet-cute with her fiancé is something out of a romantic comedy (gag) and she’s managed to finance her entire wedding by winning a series of Internet contests (double gag). Worst of all, she’s forcing Olive to spend the day with her sworn enemy, Ethan, who just happens to be the best man.",80,2019
116,Becoming,,"In a life filled with meaning and accomplishment, Michelle Obama has emerged as one of the most iconic and compelling women of our era. As First Lady of the United States of America—the first African American to serve in that role—she helped create the most welcoming and inclusive White House in history, while also establishing herself as a powerful advocate for women and girls in the U.S. and around the world, dramatically changing the ways that families pursue healthier and more active lives, and standing with her husband as he led America through some of its most harrowing moments. Along the way, she showed us a few dance moves, crushed Carpool Karaoke, and raised two down-to-earth daughters under an unforgiving media glare.",31,2018
117,"Red, White & Royal Blue",,"First Son Alex Claremont-Diaz is the closest thing to a prince this side of the Atlantic. With his intrepid sister and the Veep’s genius granddaughter, they’re the White House Trio, a beautiful millennial marketing strategy for his mother, President Ellen Claremont. International socialite duties do have downsides—namely, when photos of a confrontation with his longtime nemesis Prince Henry at a royal wedding leak to the tabloids and threaten American/British relations. The plan for damage control: staging a fake friendship between the First Son and the Prince.",81,2019
118,Under the Banner of Heaven: A Story of Violent Faith,9780330419123,A Story of Violent Faith,82,2004
119,The Viscount Who Loved Me,,"1814 promises to be another eventful season, but not, this author believes, for Anthony Bridgerton, London's most elusive bachelor, who has shown no indication that he plans to marry.",27,2006
120,Homo Deus: A History of Tomorrow,,"Yuval Noah Harari, author of the critically-acclaimed New York Times bestseller and international phenomenon Sapiens, returns with an equally original, compelling, and provocative book, turning his focus toward humanity’s future, and our quest to upgrade humans into gods.",83,2017
121,Eclipse,9780316160209,"""BELLA?""",46,2007
122,Stardust,9780061142024,Alternate cover edition can be found here,48,2006
123,The Cruel Prince,,This is a previously published cover edition of ISBN 9780316310277. An alternative cover edition for this ISBN can be found here.,84,2018
124,Man's Search for Meaning,9780807014295,"Psychiatrist Viktor Frankl's memoir has riveted generations of readers with its descriptions of life in Nazi death camps and its lessons for spiritual survival. Based on his own experience and the stories of his patients, Frankl argues that we cannot avoid suffering but we can choose how to cope with it, find meaning in it, and move forward with renewed purpose. At the heart of his theory, known as logotherapy, is a conviction that the primary human drive is not pleasure but the pursuit of what we find meaningful. Man's Search for Meaning has become one of the most influential books in America; it continues to inspire us all to find significance in the very act of living.",85,2006
125,Icebreaker,,Anastasia Allen has worked her entire life for a shot at Team USA.,86,2022
126,A Distant Mirror: The Calamitous 14th Century,9780345349576,"The 14th century gives us back two contradictory images: a glittering time of crusades and castles, cathedrals and chivalry, and a dark time of ferocity and spiritual agony, a world plunged into a chaos of war, fear and the Plague. Barbara Tuchman anatomizes the century, revealing both the great rhythms of history and the grain and texture of domestic life as it was lived.",87,1987
127,The Art of War,,"Twenty-Five Hundred years ago, Sun Tzu wrote this classic book of military strategy based on Chinese warfare and military thought. Since that time, all levels of military have used the teaching on Sun Tzu to warfare and civilization have adapted these teachings for use in politics, business and everyday life. The Art of War is a book which should be used to gain advantage of opponents in the boardroom and battlefield alike.",88,2005
128,Archer's Voice,9781538727379,"When Bree Prescott arrives in the sleepy, lakeside town of Pelion, Maine, she hopes against hope that this is the place where she will finally find the peace she so desperately seeks. On her first day there, her life collides with Archer Hale, an isolated man who holds a secret agony of his own. A man no one else sees.",89,2016
129,Do Androids Dream of Electric Sheep?,,"It was January 2021, and Rick Deckard had a license to kill. Somewhere among the hordes of humans out there, lurked several rogue androids. Deckard's assignment--find them and then...""retire"" them. Trouble was, the androids all looked exactly like humans, and they didn't want to be found!",9,2008
130,The Glass Castle,9780743247542,THE #1 NEW YORK TIMES BESTSELLER,90,2006
131,"Thinking, Fast and Slow",9780374275631,"In the highly anticipated Thinking, Fast and Slow, Kahneman takes us on a groundbreaking tour of the mind and explains the two systems that drive the way we think. System 1 is fast, intuitive, and emotional; System 2 is slower, more deliberative, and more logical. Kahneman exposes the extraordinary capabilities—and also the faults and biases—of fast thinking, and reveals the pervasive influence of intuitive impressions on our thoughts and behavior. The impact of loss aversion and overconfidence on corporate strategies, the difficulties of predicting what will make us happy in the future, the challenges of properly framing risks at work and at home, the profound effect of cognitive biases on everything from playing the stock market to planning the next vacation—each of these can be understood only by knowing how the two systems work together to shape our judgments and decisions.",61,2011
132,Games People Play,9780345032799,We think we’re relating to other people–but actually we’re all playing games.,14,1964
133,Anna and the French Kiss,9780525423270,"Anna is looking forward to her senior year in Atlanta, where she has a great job, a loyal best friend, and a crush on the verge of becoming more. Which is why she is less than thrilled about being shipped off to boarding school in Paris--until she meets Étienne St. Clair. Smart, charming, beautiful, Étienne has it all...including a serious girlfriend.",91,2010
134,Love's Executioner and Other Tales of Psychotherapy,9780060958343,"The collection of ten absorbing tales by master psychotherapist Irvin D. Yalom uncovers the mysteries, frustrations, pathos, and humor at the heart of the therapeutic encounter.  In recounting his patients' dilemmas, Yalom not only gives us a rare and enthralling glimpse into their personal desires and motivations but also tells us his own story as he struggles to reconcile his all-too human responses with his sensibility as a psychiatrist.  Not since Freud has an author done so much to clarify what goes on between a psychotherapist and a patient.",48,2000
135,Love and Other Words,9781501190537,The story of the heart can never be unwritten.,80,2018
136,Wuthering Heights,,You can find the redesigned cover of this edition HERE.,92,2002
137,The Kiss Quotient,,A heartwarming and refreshing debut novel that proves one thing: there's not enough data in the world to predict what will make your heart tick.,23,2018
138,The Evolution of God,9780316734912,"In this sweeping narrative that takes us from the Stone Age to the Information Age, Robert Wright unveils an astonishing discovery: there is a hidden pattern that the great monotheistic faiths have followed as they have evolved. Through the prisms of archaeology, theology, and evolutionary psychology, Wright's findings overturn basic assumptions about Judaism, Christianity, and Islam, and are sure to cause controversy. He explains why spirituality has a role today, and why science, contrary to conventional wisdom, affirms the validity of the religious quest. And this previously unrecognized evolutionary logic points not toward continued religious extremism, but future harmony.",46,2009
139,Civilization and Its Discontents,9780393301588,"It stands as a brilliant summary of the views on culture from a psychoanalytic perspective that he had been developing since the turn of the century. It is both witness and tribute to the late theory of mind—the so-called structural theory, with its stress on aggression, indeed the death drive, as the pitiless adversary of eros.",93,1989
140,People We Meet on Vacation,9781984806758,Two best friends. Ten summer trips. One last chance to fall in love.,23,2021
141,Grant,9781594204876,"Ulysses S. Grant's life has typically been misunderstood. All too often he is caricatured as a chronic loser and inept businessman, fond of drinking to excess; or as the triumphant but brutal Union general of the Civil War; or as a credulous and hapless president whose tenure came to symbolize the worst excesses of the Gilded Age. These stereotypes don't come close to capturing adequately his spirit and the sheer magnitude of his monumental accomplishments. A biographer at the height of his powers, Chernow has produced a portrait of Grant that is a masterpiece, the first to provide a complete understanding of the general and president whose fortunes rose and fell with dizzying speed and frequency.",3,2017
142,Book Lovers,,One summer. Two rivals. A plot twist they didn't see coming....,23,2022
143,1776,9780743226721,"In this masterful book, David McCullough tells the intensely human story of those who marched with General George Washington in the year of the Declaration of Independence - when the whole American cause was riding on their success, without which all hope for independence would have been dashed and the noble ideals of the Declaration would have amounted to little more than words on paper.",94,2006
144,City of Bones,9781416914280,"When fifteen-year-old Clary Fray heads out to the Pandemonium Club in New York City, she hardly expects to witness a murder― much less a murder committed by three teenagers covered with strange tattoos and brandishing bizarre weapons. Then the body disappears into thin air. It's hard to call the police when the murderers are invisible to everyone else and when there is nothing―not even a smear of blood―to show that a boy has died. Or was he a boy?",95,2007
145,Crooked Kingdom,,Welcome to the world of the Grisha.,96,2016
146,"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents",9781626251700,"If you grew up with an emotionally immature, unavailable, or selfish parent, you may have lingering feelings of anger, loneliness, betrayal, or abandonment. You may recall your childhood as a time when your emotional needs were not met, when your feelings were dismissed, or when you took on adult levels of responsibility in an effort to compensate for your parent’s behavior. These wounds can be healed, and you can move forward in your life.",97,2015
147,Salt: A World History,9780142001615,"In his fifth work of nonfiction, Mark Kurlansky turns his attention to a common household item with a long and intriguing history: salt. The only rock we eat, salt has shaped civilization from the very beginning, and its story is a glittering, often surprising part of the history of humankind. A substance so valuable it served as currency, salt has influenced the establishment of trade routes and cities, provoked and financed wars, secured empires, and inspired revolutions. ",32,2003
148,A Court of Wings and Ruin,9781635575606,The epic third novel in the #1 New York Times bestselling Court of Thorns and Roses series by Sarah J. Maas.,98,2020
149,The Book of Mormon: Another Testament of Jesus Christ,9780967686561,"""Jōsap Smit Jūn̲iyar avarkaḷāl Āṅkilattil mol̲ipeyarkkappaṭṭatu.""",99,2013
150,Predictably Irrational: The Hidden Forces That Shape Our Decisions,,Why do our headaches persist after taking a one-cent aspirin but disappear when we take a 50-cent aspirin?,100,2008
151,The Three-Body Problem,,"Set against the backdrop of China's Cultural Revolution, a secret military project sends signals into space to establish contact with aliens. An alien civilization on the brink of destruction captures the signal and plans to invade Earth. Meanwhile, on Earth, different camps start forming, planning to either welcome the superior beings and help them take over a world seen as corrupt, or to fight against the invasion.",33,2014
152,Crown of Midnight,9781639730964,An alternative cover edition for this ISBN can be found here.,21,2023
153,It Happened One Summer,9780063045651,"Piper Bellinger is fashionable, influential, and her reputation as a wild child means the paparazzi are constantly on her heels. When too much champagne and an out-of-control rooftop party lands Piper in the slammer, her stepfather decides enough is enough. So he cuts her off, and sends Piper and her sister to learn some responsibility running their late father’s dive bar... in Washington.",27,2021
154,"Unbroken: A World War II Story of Survival, Resilience and Redemption",9781400064168,"On a May afternoon in 1943, an Army Air Forces bomber crashed into the Pacific Ocean and disappeared, leaving only a spray of debris and a slick of oil, gasoline, and blood. Then, on the ocean surface, a face appeared. It was that of a young lieutenant, the plane's bombardier, who was struggling to a life raft and pulling himself aboard. So began one of the most extraordinary odysseys of the Second World War.",10,2010
155,The Forever War,,"The Earth's leaders have drawn a line in the interstellar sand—despite the fact that the fierce alien enemy that they would oppose is inscrutable, unconquerable, and very far away. A reluctant conscript drafted into an elite Military unit, Private William Mandella has been propelled through space and time to fight in the distant thousand-year conflict; to perform his duties without rancor and even rise up through military ranks. Pvt. Mandella is willing to do whatever it takes to survive the ordeal and return home. But ""home"" may be even more terrifying than battle, because, thanks to the time dilation caused by space travel, Mandella is aging months while the Earth he left behind is aging centuries.",101,2003
156,Neuromancer,,"Hotwired to the leading edges of art and technology, Neuromancer is a cyberpunk, science fiction masterpiece—a classic that ranks with 1984 and Brave New World as one of the twentieth century’s most potent visions of the future.",39,2007
157,"Eat, Pray, Love",9780143038412,"A celebrated writer's irresistible, candid, and eloquent account of her pursuit of worldly pleasure, spiritual devotion, and what she really wanted out of life.",43,2007
158,Yes Please,9780062268341,"In Amy Poehler’s highly anticipated first book, Yes Please, she offers up a big juicy stew of personal stories, funny bits on sex and love and friendship and parenthood and real life advice (some useful, some not so much), like when to be funny and when to be serious. Powered by Amy’s charming and hilarious, biting yet wise voice, Yes Please is a book full of words to live by.",102,2014
159,Einstein: His Life and Universe,9780743264730,"Einstein was a rebel and nonconformist from boyhood days, and these character traits drove both his life and his science. In this narrative, Walter Isaacson explains how his mind worked and the mysteries of the universe that he discovered.",2,2007
160,"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President",9780385526265,"James A. Garfield was one of the most extraordinary men ever elected president. Born into abject poverty, he rose to become a wunderkind scholar, a Civil War hero, and a renowned and admired reformist congressman. Nominated for president against his will, he engaged in a fierce battle with the corrupt political establishment. But four months after his inauguration, a deranged office seeker tracked Garfield down and shot him in the back.",73,2011
161,Greenlights,9780593139134,"From the Academy Award®–winning actor, an unconventional memoir filled with raucous stories, outlaw wisdom, and lessons learned the hard way about living with greater satisfaction.",31,2020
162,Man and His Symbols,9780440351832,"Man and His Symbols owes its existence to one of Jung's own dreams. The great psychologist dreamed that his work was understood by a wide public, rather than just by psychiatrists, and therefore he agreed to write and edit this fascinating book. Here, Jung examines the full world of the unconscious, whose language he believed to be the symbols constantly revealed in dreams. Convinced that dreams offer practical advice, sent from the unconscious to the conscious self, Jung felt that self-understanding would lead to a full and productive life. Thus, the reader will gain new insights into himself from this thoughtful volume, which also illustrates symbols throughout history. Completed just before his death by Jung and his associates, it is clearly addressed to the general reader.",103,1968
163,Say Nothing: A True Story of Murder and Memory in Northern Ireland,9780385521314,"In December 1972, Jean McConville, a thirty-eight-year-old mother of ten, was dragged from her Belfast home by masked intruders, her children clinging to her legs. They never saw her again. Her abduction was one of the most notorious episodes of the vicious conflict known as The Troubles. Everyone in the neighborhood knew the I.R.A. was responsible. But in a climate of fear and paranoia, no one would speak of it. In 2003, five years after an accord brought an uneasy peace to Northern Ireland, a set of human bones was discovered on a beach. McConville's children knew it was their mother when they were told a blue safety pin was attached to the dress--with so many kids, she had always kept it handy for diapers or ripped clothes.",73,2019
164,American Gods,,"Days before his release from prison, Shadow's wife, Laura, dies in a mysterious car crash. Numbly, he makes his way back home. On the plane, he encounters the enigmatic Mr Wednesday, who claims to be a refugee from a distant war, a former god and the king of America.",104,2011
165,The One,9780062059994,The time has come for one winner to be crowned.,6,2014
166,Tao Te Ching,9780679724346,A lucid translation of the well-known Taoist classic by a leading scholar-now in a Shambhala Pocket Library edition.,13,1989
167,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,,"No matter your goals, Atomic Habits offers a proven framework for improving—every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones, and master the tiny behaviors that lead to remarkable results.",105,2018
168,Dune Messiah,9780593098233,Book Two in the Magnificent Dune Chronicles--the Bestselling Science Fiction Adventure of All Time,39,2019
169,Infidel,9780743289689,"One of today’s most admired and controversial political figures, Ayaan Hirsi Ali burst into international headlines following the murder of Theo van Gogh by an Islamist who threatened that she would be next. She made headlines again when she was stripped of her citizenship and resigned from the Dutch Parliament.",106,2007
170,The Hitchhiker's Guide to the Galaxy,,"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.",107,2005
171,Stranger in a Strange Land,,NAME: Valentine Michael Smith,39,1991
172,Slaughterhouse-Five,9780385333849,"Slaughterhouse-Five, an American classic, is one of the world’s great antiwar books. Centering on the infamous World War II firebombing of Dresden, the novel is the result of what Kurt Vonnegut described as a twenty-three-year struggle to write a book about what he had witnessed as an American prisoner of war. It combines historical fiction, science fiction, autobiography, and satire in an account of the life of Billy Pilgrim, a barber’s son turned draftee turned optometrist turned alien abductee. As Vonnegut had, Billy experiences the destruction of Dresden as a POW. Unlike Vonnegut, he experiences time travel, or coming “unstuck in time.”",108,1999
173,Fahrenheit 451,,"Sixty years after its original publication, Ray Bradbury’s internationally acclaimed novel Fahrenheit 451 stands as a classic of world literature set in a bleak, dystopian future. Today its message has grown more relevant than ever before.",2,2011
174,Drive: The Surprising Truth About What Motivates Us,9781594488849,The New York Times bestseller that gives readers a paradigm-shattering new way to think about motivation,43,2009
175,"Nudge: Improving Decisions About Health, Wealth, and Happiness",9780143115267,"From the winner of the 2017 Nobel Prize in Economics, Richard H. Thaler, and Cass R. Sunstein: a revelatory look at how we make decisions",32,2009
176,Leonardo da Vinci,9781501139154,"Based on thousands of pages from Leonardo's astonishing notebooks and new discoveries about his life and work, Walter Isaacson weaves a narrative that connects his art to his science. He shows how Leonardo's genius was based on skills we can improve in ourselves, such as passionate curiosity, careful observation, and an imagination so playful that it flirted with fantasy. He produced the two most famous paintings in history, The Last Supper and the Mona Lisa. But in his own mind, he was just as much a man of science and technology. With a passion that sometimes became obsessive, he pursued innovative studies of anatomy, fossils, birds, the heart, flying machines, botany, geology, and weaponry. His ability to stand at the crossroads of the humanities and the sciences, made iconic by his drawing of Vitruvian Man, made him history's most creative genius",2,2017
177,Foundation,9780553803716,"The first novel in Isaac Asimov's classic science-fiction masterpiece, the Foundation series",30,2004
178,An Unquiet Mind: A Memoir of Moods and Madness,9780679763307,The personal memoir of a manic depressive and an authority on the subject describes the onset of the illness during her teenage years and her determined journey through the realm of available treatments.,13,1996
179,The Interpretation of Dreams,9781566195768,"Freud's discovery that the dream is the means by which the unconscious can be explored is undoubtedly the most revolutionary step forward in the entire history of psychology. Dreams, according to his theory, represent the hidden fulfillment of our unconscious wishes.",109,1994
180,Starship Troopers,,"The historians can’t seem to settle whether to call this one ""The Third Space War"" (or the fourth), or whether ""The First Interstellar War"" fits it better. We just call it “The Bug War."" Everything up to then and still later were ""incidents,"" ""patrols,"" or ""police actions."" However, you are just as dead if you buy the farm in an ""incident"" as you are if you buy it in a declared war...",110,1987
181,1984,9780452284234,"The new novel by George Orwell is the major work towards which all his previous writing has pointed. Critics have hailed it as his ""most solid, most brilliant"" work. Though the story of Nineteen Eighty-Four takes place thirty-five years hence, it is in every sense timely. The scene is London, where there has been no new housing since 1950 and where the city-wide slums are called Victory Mansions. Science has abandoned Man for the State. As every citizen knows only too well, war is peace.",111,2022
182,A Court of Thorns and Roses,9781635575569,"When nineteen-year-old huntress Feyre kills a wolf in the woods, a terrifying creature arrives to demand retribution. Dragged to a treacherous magical land she knows about only from legends, Feyre discovers that her captor is not truly a beast, but one of the lethal, immortal faeries who once ruled her world.",98,2020
183,Maybe You Should Talk to Someone,9781328662057,"From a psychotherapist, and national advice columnist comes a thought-provoking new book that takes us behind the scenes of a therapist's world -- where her patients are looking for answers (and so is she).",83,2019
184,A Clash of Kings,9780553381696,"A comet the color of blood and flame cuts across the sky. Two great leaders—Lord Eddard Stark and Robert Baratheon—who hold sway over an age of enforced peace are dead, victims of royal treachery. Now, from the ancient citadel of Dragonstone to the forbidding shores of Winterfell, chaos reigns. Six factions struggle for control of a divided land and the Iron Throne of the Seven Kingdoms, preparing to stake their claims through tempest, turmoil, and war.",30,2002
185,Letter to a Christian Nation,9780307265777,"In response to The End of Faith, Sam Harris received thousands of letters from Christians excoriating him for not believing in God. Letter to A Christian Nation is his reply. Using rational argument, Harris offers a measured refutation of the beliefs that form the core of fundamentalist Christianity. In the course of his argument, he addresses current topics ranging from intelligent design and stem-cell research to the connections between religion and violence. In Letter to a Christian Nation, Sam Harris boldly challenges the influence that faith has on public life in our nation.",34,2006
186,A Court of Mist and Fury,9781635575583,The seductive and stunning #1 New York Times bestselling sequel to Sarah J. Maas's spellbinding A Court of Thorns and Roses .,98,2020
187,"The End of Faith: Religion, Terror, and the Future of Reason",9780393327656,"In The End of Faith, Sam Harris delivers a startling analysis of the clash between reason and religion in the modern world. He offers a vivid, historical tour of our willingness to suspend reason in favor of religious beliefs—even when these beliefs inspire the worst human atrocities. While warning against the encroachment of organized religion into world politics, Harris draws on insights from neuroscience, philosophy, and Eastern mysticism to deliver a call for a truly modern foundation for ethics and spirituality that is both secular and humanistic.",112,2005
188,"Life, the Universe and Everything",9780345418906,"Now celebrating the 42nd anniversary of  The Hitchhiker’s Guide to the Galaxy,  soon to be a Hulu original series!",113,1997
189,Breaking the Spell: Religion as a Natural Phenomenon,9780670034727,An innovative thinker tackles the controversial question of why we believe in God and how religion shapes our lives and our future.,114,2006
190,Project Hail Mary,9780593135204,"Ryland Grace is the sole survivor on a desperate, last-chance mission—and if he fails, humanity and the earth itself will perish.",9,2021
191,I'm Glad My Mom Died,,"A heartbreaking and hilarious memoir by iCarly and Sam & Cat star Jennette McCurdy about her struggles as a former child actor—including eating disorders, addiction, and a complicated relationship with her overbearing mother—and how she retook control of her life.",2,2022
192,Heartstopper: Volume One,9781527225336,"Charlie, a highly-strung, openly gay over-thinker, and Nick, a cheerful, soft-hearted rugby player, meet at a British all-boys grammar school. Friendship blooms quickly, but could there be something more...?",115,2018
193,The Tipping Point: How Little Things Can Make a Big Difference,9780316346627,"The tipping point is that magic moment when an idea, trend, or social behavior crosses a threshold, tips, and spreads like wildfire. Just as a single sick person can start an epidemic of the flu, so too can a small but precisely targeted push cause a fashion trend, the popularity of a new product, or a drop in the crime rate. This widely acclaimed bestseller, in which Malcolm Gladwell explores and brilliantly illuminates the tipping point phenomenon, is already changing the way people throughout the world think about selling products and disseminating ideas.",116,2002
194,Eragon,9780375826696,An alternate cover edition for ISBN 9780375826696 can be found here.,117,2005
195,Leviathan Wakes,9781841499888,"Humanity has colonized the solar system—Mars, the Moon, the Asteroid Belt and beyond—but the stars are still out of our reach.",118,2011
196,Paradise Lost,9780140424393,"John Milton's Paradise Lost is one of the greatest epic poems in the English language. It tells the story of the Fall of Man, a tale of immense drama and excitement, of rebellion and treachery, of innocence pitted against corruption, in which God and Satan fight a bitter battle for control of mankind's destiny. The struggle rages across three worlds - heaven, hell, and earth - as Satan and his band of rebel angels plot their revenge against God. At the center of the conflict are Adam and Eve, who are motivated by all too human temptations but whose ultimate downfall is unyielding love.",78,2003
197,A Darker Shade of Magic,9780765376459,"Kell is one of the last Antari—magicians with a rare, coveted ability to travel between parallel Londons; Red, Grey, White, and, once upon a time, Black.",60,2015
198,The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom,9780465028023,"In his widely praised book, award-winning psychologist Jonathan Haidt examines the world’s philosophical wisdom through the lens of psychological science, showing how a deeper understanding of enduring maxims-like Do unto others as you would have others do unto you, or What doesn’t kill you makes you stronger-can enrich and even transform our lives.",119,2006
199,The Gifts of Imperfection,9781592858491,"In this groundbreaking New York Times best seller, Dr. Brené Brown, a research professor and thought leader on vulnerability, courage, worthiness, and shame, shares ten guideposts on the power of Wholehearted living—a way of engaging with the world from a place of worthiness.",120,2010
200,The Eye of the World,9780812511819,"The Wheel of Time turns and Ages come and pass, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. What was, what will be, and what is, may yet fall under the Shadow.",33,1990
201,The Warmth of Other Suns: the Epic Story of America's Great Migration,9780679444329,"In this epic, beautifully written masterwork, Pulitzer Prize–winning author Isabel Wilkerson chronicles one of the great untold stories of American history: the decades-long migration of black citizens who fled the South for northern and western cities, in search of a better life. ",10,2010
202,The Hating Game,,Nemesis (n.),57,2016
203,The Da Vinci Code,,ISBN 9780307277671 moved to this edition.,121,2006
204,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",9780380813810,"The birth of Jesus has been well chronicled, as have his glorious teachings, acts, and divine sacrifice after his thirtieth birthday. But no one knows about the early life of the Son of God, the missing years—except Biff, the Messiah's best bud, who has been resurrected to tell the story in the divinely hilarious yet heartfelt work ""reminiscent of Vonnegut and Douglas Adams"" (Philadelphia Inquirer).",48,2004
