title,author,genres,synopsis,publisher,year,isbn,cover,url
Ugly Love,Colleen Hoover,"['Romance', 'Contemporary', 'New Adult', 'Fiction', 'Contemporary Romance', 'Audiobook', 'Adult']","When Tate Collins meets airline pilot Miles Archer, she knows it isn’t love at first sight. They wouldn’t even go so far as to consider themselves friends. The only thing Tate and Miles have in common is an undeniable mutual attraction. Once their desires are out in the open, they realize they have the perfect set-up. He doesn’t want love, she doesn’t have time for love, so that just leaves the sex. Their arrangement could be surprisingly seamless, as long as Tate can stick to the only two rules Miles has for her.",Atria Books,2014,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1632597571i/17788401.jpg,https://www.goodreads.com/book/show/17788401-ugly-love
"I, Robot",Isaac Asimov,"['Science Fiction', 'Fiction', 'Classics', 'Short Stories', 'Science Fiction Fantasy', 'Fantasy', 'Robots']","Isaac Asimov's I, Robot launches readers on an adventure into a not-so-distant future where man and machine , struggle to redefinelife, love, and consciousness—and where the stakes are nothing less than survival. Filled with unforgettable characters, mind-bending speculation, and nonstop action, I, Robot is a powerful reading experience from one of the master storytellers of our time.",Bantam Books,2004,9780553803709,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1609035271i/41804.jpg,https://www.goodreads.com/book/show/41804.I_Robot
The Titan's Curse,Rick Riordan,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']","It's not everyday you find yourself in combat with a half-lion, half-human.",Puffin Books,2007,9780141382890,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1361038385i/561456.jpg,https://www.goodreads.com/book/show/561456.The_Titan_s_Curse
The Duke and I,Julia Quinn,"['Romance', 'Historical Romance', 'Historical Fiction', 'Historical', 'Fiction', 'Audiobook', 'Adult']",Librarian note: See alternate cover editions here and here.,Avon Books,2006,9780380800827,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1379594717i/110391.jpg,https://www.goodreads.com/book/show/110391.The_Duke_and_I
The Prophet,Kahlil Gibran,"['Poetry', 'Classics', 'Philosophy', 'Fiction', 'Spirituality', 'Religion', 'Literature']","Kahlil Gibran’s masterpiece, The Prophet, is one of the most beloved classics of our time. Published in 1923, it has been translated into more than twenty languages, and the American editions alone have sold more than nine million copies.",Rupa & Co,2003,9780001000391,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1355046521i/2547.jpg,https://www.goodreads.com/book/show/2547.The_Prophet
Catherine the Great: Portrait of a Woman,Robert K. Massie,"['History', 'Biography', 'Nonfiction', 'Russia', 'Historical', 'Biography Memoir', 'Russian History']","Pulitzer Prize winner Massie offers the tale of a princess who went to Russia at 14 and became one of the most powerful women in history. Born into minor German nobility, she transformed herself into an empress by sheer determination. Possessing a brilliant, curious mind, she devoured the works of Enlightenment philosophers, and reaching the throne, tried using their principles to rule the vast, backward empire. She knew or corresponded with notable figures of her time: Voltaire, Diderot, Frederick the Great, Maria Theresa of Austria, Marie Antoinette & John Paul Jones. Wanting to be the “benevolent despot” Montesquieu idealized, she contended with the deeply ingrained realities of Russian life, including serfdom. She persevered, and for 34 years the government, foreign policy, cultural development and welfare of the Russian people were in her hands. She dealt with domestic rebellion, wars & the tides of political change and violence inspired by the French Revolution. Her reputation depended on the perspective of the speaker. She was praised by Voltaire as like the classical philosophers. She was condemned by enemies, mostly foreign, as “the Messalina of the north.” Her family, friends, ministers, generals, lovers and enemies are vividly described. These included her ambitious, scheming mother; her weak, bullying husband, Peter (who left her sexually untouched for nine years after their marriage); her unhappy son & heir, Paul; her beloved grandchildren; and her favorites—the young men from whom she sought companionship and the recapture of youth as well as sex. Here, too, is Gregory Potemkin, her most significant lover & possible husband, with whom she shared a correspondence of love & separation, followed by 17 years of unparalleled mutual achievement. All the qualities that Massie brought to Nicholas & Alexandra and Peter the Great are present: historical accuracy, deep understanding, felicity of style, mastery of detail, ability to shatter myth & a genius for finding and expressing a human drama.","Random House, Inc. (NY)",2011,9780679456728,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403395276i/10414941.jpg,https://www.goodreads.com/book/show/10414941-catherine-the-great
Pride and Prejudice,Jane Austen,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook']","Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language. Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austen's radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England.",Modern Library,2000,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885.jpg,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
Narrative of the Life of Frederick Douglass,Frederick Douglass,"['Nonfiction', 'History', 'Classics', 'Biography', 'Memoir', 'School', 'Autobiography']","Born a slave circa 1818 (slaves weren't told when they were born) on a plantation in Maryland, Douglass taught himself to read and write. In 1845, seven years after escaping to the North, he published Narrative, the first of three autobiographies. This book calmly but dramatically recounts the horrors and the accomplishments of his early years—the daily, casual brutality of the white masters; his painful efforts to educate himself; his decision to find freedom or die; and his harrowing but successful escape.",Prestwick House Inc.,2004,9781580495769,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388234247i/36529.jpg,https://www.goodreads.com/book/show/36529.Narrative_of_the_Life_of_Frederick_Douglass
Neverwhere,Neil Gaiman,"['Fantasy', 'Fiction', 'Urban Fantasy', 'Audiobook', 'Science Fiction Fantasy', 'Horror', 'Science Fiction']","Under the streets of London there's a world most people could never even dream of. A city of monsters and saints, murderers and angels, knights in armour and pale girls in black velvet.",William Morrow Paperbacks,2003,9780060557812,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348747943i/14497.jpg,https://www.goodreads.com/book/show/14497.Neverwhere
The Problem of Pain,C.S. Lewis,"['Christian', 'Nonfiction', 'Theology', 'Religion', 'Christianity', 'Philosophy', 'Faith']","For centuries people have been tormented by one question above all: If God is good and all-powerful, why does he allow his creatures to suffer pain? And what of the suffering of animals, who neither deserve pain nor can be improved by it?",CollinsWillow,2012,9780007461264,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1504348728i/13650513.jpg,https://www.goodreads.com/book/show/13650513-the-problem-of-pain
The Immortal Life of Henrietta Lacks,Rebecca Skloot,"['Nonfiction', 'Science', 'History', 'Biography', 'Medicine', 'Audiobook', 'Medical']","Her name was Henrietta Lacks, but scientists know her as HeLa. She was a poor Southern tobacco farmer who worked the same land as her enslaved ancestors, yet her cells—taken without her knowledge—became one of the most important tools in medicine. The first “immortal” human cells grown in culture, they are still alive today, though she has been dead for more than sixty years. If you could pile all HeLa cells ever grown onto a scale, they’d weigh more than 50 million metric tons—as much as a hundred Empire State Buildings. HeLa cells were vital for developing the polio vaccine; uncovered secrets of cancer, viruses, and the atom bomb’s effects; helped lead to important advances like in vitro fertilization, cloning, and gene mapping; and have been bought and sold by the billions.",Crown Publishing Group,2010,9781400052172,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327878144i/6493208.jpg,https://www.goodreads.com/book/show/6493208-the-immortal-life-of-henrietta-lacks
Ender’s Game,Orson Scott Card,"['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Dystopia']","Andrew ""Ender"" Wiggin thinks he is playing computer simulated war games; he is, in fact, engaged in something far more desperate. The result of genetic experimentation, Ender may be the military genius Earth desperately needs in a war against an alien enemy seeking to destroy all human life. The only way to find out is to throw Ender into ever harsher training, to chip away and find the diamond inside, or destroy him utterly. Ender Wiggin is six years old when it begins. He will grow up fast.",Tor,2004,9780812550702,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1408303130i/375802.jpg,https://www.goodreads.com/book/show/375802.Ender_s_Game
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,"['History', 'Nonfiction', 'World War II', 'Historical', 'Biography', 'War', 'Germany']","The time is 1933, the place, Berlin, when William E. Dodd becomes America's first ambassador to Hitler's Germany in a year that proved to be a turning point in history.",Crown,2011,9780307408846,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327864303i/9938498.jpg,https://www.goodreads.com/book/show/9938498-in-the-garden-of-beasts
Annihilation,Jeff VanderMeer,"['Science Fiction', 'Fiction', 'Horror', 'Fantasy', 'Mystery', 'Dystopia', 'Audiobook']","Area X has been cut off from the rest of the world for decades. Nature has reclaimed the last vestiges of human civilization. The first expedition returned with reports of a pristine, Edenic landscape; the second expedition ended in mass suicide, the third in a hail of gunfire as its members turned on one another. The members of the eleventh expedition returned as shadows of their former selves, and within weeks, all had died of cancer. In Annihilation, the first volume of Jeff VanderMeer's Southern Reach Trilogy, we join the twelfth expedition.","Farrar, Straus and Giroux",2014,9780374104092,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403941587i/17934530.jpg,https://www.goodreads.com/book/show/17934530-annihilation
Long Walk to Freedom,Nelson Mandela,"['Biography', 'Nonfiction', 'History', 'Africa', 'Memoir', 'Autobiography', 'Politics']",Nelson Mandela is one of the great moral and political leaders of our time: an international hero whose lifelong dedication to the fight against racial oppression in South Africa won him the Nobel Peace Prize and the presidency of his country.,Back Bay Books,1995,9780316548182,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327997342i/318431.jpg,https://www.goodreads.com/book/show/318431.Long_Walk_to_Freedom
Angels & Demons,Dan Brown,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Suspense', 'Adventure', 'Crime']","World-renowned Harvard symbologist Robert Langdon is summoned to a Swiss research facility to analyze a cryptic symbol seared into the chest of a murdered physicist. What he discovers is unimaginable: a deadly vendetta against the Catholic Church by a centuries-old underground organization -- the Illuminati. In a desperate race to save the Vatican from a powerful time bomb, Langdon joins forces in Rome with the beautiful and mysterious scientist Vittoria Vetra. Together they embark on a frantic hunt through sealed crypts, dangerous catacombs, and deserted cathedrals, and into the depths of the most secretive vault on earth...the long-forgotten Illuminati lair.",Pocket Books,2006,9781416524793,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1696691404i/960.jpg,https://www.goodreads.com/book/show/960.Angels_Demons
Outliers: The Story of Success,Malcolm Gladwell,"['Nonfiction', 'Psychology', 'Business', 'Self Help', 'Sociology', 'Science', 'Audiobook']","Learn what sets high achievers apart — from Bill Gates to the Beatles — in this #1 bestseller from ""a singular talent"" (New York Times Book Review).","Little, Brown and Company",2008,9780316017923,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1344266315i/3228917.jpg,https://www.goodreads.com/book/show/3228917-outliers
The War of the Worlds,H.G. Wells,"['Classics', 'Science Fiction', 'Fiction', 'Fantasy', 'Horror', 'Science Fiction Fantasy', 'Literature']","When an army of invading Martians lands in England, panic and terror seize the population. As the aliens traverse the country in huge three-legged machines, incinerating all in their path with a heat ray and spreading noxious toxic gases, the people of the Earth must come to terms with the prospect of the end of human civilization and the beginning of Martian rule.",Modern Library,2002,9780375759239,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320391644i/8909.jpg,https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds
Graceling,Kristin Cashore,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Young Adult Fantasy', 'Adventure', 'Magic']","Katsa has been able to kill a man with her bare hands since she was eight—she’s a Graceling, one of the rare people in her land born with an extreme skill. As niece of the king, she should be able to live a life of privilege, but Graced as she is with killing, she is forced to work as the king’s thug.",Harcourt,2008,9780152063962,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1331548394i/3236307.jpg,https://www.goodreads.com/book/show/3236307-graceling
Flow: The Psychology of Optimal Experience,Mihály Csíkszentmihályi,"['Psychology', 'Nonfiction', 'Self Help', 'Personal Development', 'Productivity', 'Business', 'Science']","Psychologist Mihaly Csikszentmihalyi's investigations of ""optimal experience"" have revealed that what makes an experience genuinely satisfying is a state of consciousness called flow. During flow, people typically experience deep enjoyment, creativity, and a total involvement with life. Csikszentmihalyi demonstrates the ways this positive state can be controlled, not just left to chance. Flow: The Psychology of Optimal Experience teaches how, by ordering the information that enters our consciousness, we can discover true happiness, unlock our potential, and greatly improve the quality of our lives.",Harper Perennial,1990,9780060920432,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432253110i/66354.jpg,https://www.goodreads.com/book/show/66354.Flow
A Feast for Crows,George R.R. Martin,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Adult', 'Adventure']","Crows will fight over a dead man's flesh, and kill each other for his eyes.",Bantam Books,2011,9780553582024,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661026821i/13497.jpg,https://www.goodreads.com/book/show/13497.A_Feast_for_Crows
Stumbling on Happiness,Daniel Todd Gilbert,"['Psychology', 'Nonfiction', 'Self Help', 'Science', 'Personal Development', 'Philosophy', 'Audiobook']",• Why are lovers quicker to forgive their partners for infidelity than for leaving dirty dishes in the sink?,Vintage,2007,9781400077427,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327947323i/56627.jpg,https://www.goodreads.com/book/show/56627.Stumbling_on_Happiness
The Well of Ascension,Brandon Sanderson,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Adult', 'Magic', 'Audiobook']","""Description contains spoilers for previous book in the series""",Tor Books,2007,9780765316882,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1619538925i/68429.jpg,https://www.goodreads.com/book/show/68429.The_Well_of_Ascension
Siddhartha,Hermann Hesse,"['Classics', 'Fiction', 'Philosophy', 'Spirituality', 'Religion', 'Literature', 'Buddhism']","Herman Hesse's classic novel has delighted, inspired, and influenced generations of readers, writers, and thinkers. In this story of a wealthy Indian Brahmin who casts off a life of privilege to seek spiritual fulfillment. Hesse synthesizes disparate philosophies--Eastern religions, Jungian archetypes, Western individualism--into a unique vision of life as expressed through one man's search for true meaning.",Bantam Books,1981,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1629378189i/52036.jpg,https://www.goodreads.com/book/show/52036.Siddhartha
Misquoting Jesus: The Story Behind Who Changed the Bible and Why,Bart D. Ehrman,"['Religion', 'Nonfiction', 'History', 'Christianity', 'Theology', 'Philosophy', 'Spirituality']","For almost 1,500 years, the New Testament manuscripts were copied by hand––and mistakes and intentional changes abound in the competing manuscript versions. Religious and biblical scholar Bart Ehrman makes the provocative case that many of our widely held beliefs concerning the divinity of Jesus, the Trinity, and the divine origins of the Bible itself are the results of both intentional and accidental alterations by scribes.",HarperOne,2007,9780060859510,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1407109431i/51364.jpg,https://www.goodreads.com/book/show/51364.Misquoting_Jesus
Second Foundation,Isaac Asimov,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Space Opera', 'Fantasy', 'Novels']","So far the Foundation was safe. But there was a hidden Second Foundation to protect the first. The Mule has yet to find it, but he was getting closer all the time. The men of the Foundation sought it, too, to escape from Mule's mind control. Only Arkady, a 14 year-old girl seemed to have the answer, or did she...?",Bantam Spectra,2004,9780553803730,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661015922i/29580.jpg,https://www.goodreads.com/book/show/29580.Second_Foundation
The Hobbit,J.R.R. Tolkien,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'High Fantasy', 'Science Fiction Fantasy']","In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort.",Houghton Mifflin,2002,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546071216i/5907.jpg,https://www.goodreads.com/book/show/5907.The_Hobbit
"Bonhoeffer: Pastor, Martyr, Prophet, Spy",Eric Metaxas,"['Biography', 'History', 'Nonfiction', 'Christian', 'Religion', 'Christianity', 'Theology']","As Adolf Hitler and the Nazis seduced a nation, bullied a continent, and attempted to exterminate the Jews of Europe, a small number of dissidents and saboteurs worked to dismantle the Third Reich from the inside. One of these was Dietrich Bonhoeffer--a pastor and author, known as much for such spiritual classics as ""The Cost of Discipleship ""and ""Life Together,"" as for his 1945 execution in a concentration camp for his part in the plot to assassinate Adolf Hitler.",Thomas Nelson,2010,9781595551382,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1298218180i/7501962.jpg,https://www.goodreads.com/book/show/7501962-bonhoeffer
A People's History of the United States,Howard Zinn,"['History', 'Nonfiction', 'Politics', 'American History', 'Historical', 'Social Justice', 'Classics']","In the book, Zinn presented a different side of history from the more traditional ""fundamental nationalist glorification of country"".",Harper Perennial,1995,9780060838652,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1494279423i/2767.jpg,https://www.goodreads.com/book/show/2767.A_People_s_History_of_the_United_States
Throne of Glass,Sarah J. Maas,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Magic', 'Young Adult Fantasy', 'High Fantasy']",An alternative cover edition for this ISBN can be found here.,Bloomsbury USA,2023,9781639730940,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673566495i/76703559.jpg,https://www.goodreads.com/book/show/76703559-throne-of-glass
The Rise of Theodore Roosevelt,Edmund Morris,"['Biography', 'History', 'Nonfiction', 'Presidents', 'Politics', 'American History', 'Biography Memoir']",Selected by the Modern Library as one of the 100 best nonfiction books of all time,The Modern Library,2001,9780375756788,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1586402749i/40929.jpg,https://www.goodreads.com/book/show/40929.The_Rise_of_Theodore_Roosevelt
The Martian Chronicles,Ray Bradbury,"['Science Fiction', 'Fiction', 'Classics', 'Short Stories', 'Fantasy', 'Science Fiction Fantasy', 'Audiobook']","The strange and wonderful tale of man’s experiences on Mars, filled with intense images and astonishing visions. Now part of the Voyager Classics collection.",Bantam/Spectra,1984,9780553278224,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661016554i/76778.jpg,https://www.goodreads.com/book/show/76778.The_Martian_Chronicles
The Final Empire,Brandon Sanderson,"['Fantasy', 'Fiction', 'High Fantasy', 'Epic Fantasy', 'Adult', 'Magic', 'Audiobook']","What if the whole world were a dead, blasted wasteland?",Tor Books,2006,9780765311788,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1617768316i/68428.jpg,https://www.goodreads.com/book/show/68428.The_Final_Empire
Night,Elie Wiesel,"['Nonfiction', 'Classics', 'History', 'Memoir', 'Holocaust', 'Biography', 'School']","Born in the town of Sighet, Transylvania, Elie Wiesel was a teenager when he and his family were taken from their home in 1944 to Auschwitz concentration camp, and then to Buchenwald. Night is the terrifying record of Elie Wiesel's memories of the death of his family, the death of his own innocence, and his despair as a deeply observant Jew confronting the absolute evil of man. This new translation by his wife and most frequent translator, Marion Wiesel, corrects important details and presents the most accurate rendering in English of Elie Wiesel's testimony to what happened in the camps and of his unforgettable message that this horror must simply never be allowed to happen again.",Hill & Wang,2006,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1575073611i/1617.jpg,https://www.goodreads.com/book/show/1617.Night
Catching Fire,Suzanne Collins,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']",Sparks are igniting.,Scholastic Press,2009,9780439023498,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1586722941i/6148028.jpg,https://www.goodreads.com/book/show/6148028-catching-fire
On Becoming a Person: A Therapist's View of Psychotherapy,Carl R. Rogers,"['Psychology', 'Nonfiction', 'Self Help', 'Philosophy', 'Counselling', 'Mental Health', 'Science']","The late Carl Rogers, founder of the humanistic psychology movement, revolutionized psychotherapy with his concept of ""client-centered therapy."" His influence has spanned decades, but that influence has become so much a part of mainstream psychology that the ingenious nature of his work has almost been forgotten. A new introduction by Peter Kramer sheds light on the significance of Dr. Rogers's work today. New discoveries in the field of psychopharmacology, especially that of the antidepressant Prozac, have spawned a quick-fix drug revolution that has obscured the psychotherapeutic relationship. As the pendulum slowly swings back toward an appreciation of the therapeutic encounter, Dr. Rogers's ""client-centered therapy"" becomes particularly timely and important.",Mariner Books,1995,9780395755310,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348329148i/174879.jpg,https://www.goodreads.com/book/show/174879.On_Becoming_a_Person
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,"['History', 'Nonfiction', 'Biography', 'Politics', 'American History', 'Civil War', 'Presidents']",Winner of the Lincoln Prize,Simon & Schuster,2006,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1676201263i/2199.jpg,https://www.goodreads.com/book/show/2199.Team_of_Rivals
Washington: A Life,Ron Chernow,"['Biography', 'History', 'Nonfiction', 'Presidents', 'American History', 'Politics', 'American Revolution']","The celebrated Ron Chernow provides a richly nuanced portrait of the father of America. With a breadth and depth matched by no other one-volume life, he carries the reader through Washington's troubled boyhood, his precocious feats in the French and Indian Wars, his creation of Mount Vernon, his heroic exploits with the Continental Army, his presiding over the Constitutional Convention and his magnificent performance as America's first president.",Penguin Press,2010,9781594202667,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348969179i/8255917.jpg,https://www.goodreads.com/book/show/8255917-washington
At Home: A Short History of Private Life,Bill Bryson,"['Nonfiction', 'History', 'Audiobook', 'Humor', 'Science', 'Historical', 'Architecture']",“Houses aren’t refuges from history. They are where history ends up.”,Doubleday,2010,9780767919388,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1372727082i/7507825.jpg,https://www.goodreads.com/book/show/7507825-at-home
The Diary of a Young Girl,Anne Frank,"['Classics', 'Nonfiction', 'Biography', 'Memoir', 'Historical', 'Holocaust', 'Autobiography']","Discovered in the attic in which she spent the last years of her life, Anne Frank’s remarkable diary has become a world classic—a powerful reminder of the horrors of war and an eloquent testament to the human spirit.",Bantam,1993,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1560816565i/48855.jpg,https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl
New Moon,Stephenie Meyer,"['Fantasy', 'Young Adult', 'Romance', 'Vampires', 'Fiction', 'Paranormal', 'Paranormal Romance']",There is an alternate cover edition for ISBN13 9780316160193 here.,"Little, Brown and Company",2006,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630592760i/49041.jpg,https://www.goodreads.com/book/show/49041.New_Moon
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,"['Nonfiction', 'Biography', 'Memoir', 'Feminism', 'Autobiography', 'Audiobook', 'History']",I come from a country that was created at midnight. When I almost died it was just after midday.,"Little, Brown and Company",2013,9780316322409,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1375414895i/17851885.jpg,https://www.goodreads.com/book/show/17851885-i-am-malala
The Varieties of Religious Experience,William James,"['Philosophy', 'Religion', 'Psychology', 'Nonfiction', 'Spirituality', 'Classics', 'Theology']","""I am neither a theologian, nor a scholar learned in the history of religions, nor an anthropologist. Psychology is the only branch of learning in which I am particularly versed. To the psychologist the religious propensities of man must be at least as interesting as any other of the facts pertaining to his mental constitution. It would seem, therefore, as a psychologist, the natural thing for me would be to invite you to a descriptive survey of those religious propensities.""",Adamant Media Corporation,2000,9781402199035,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1167956957i/28820.jpg,https://www.goodreads.com/book/show/28820.The_Varieties_of_Religious_Experience
The Red Tent,Anita Diamant,"['Historical Fiction', 'Fiction', 'Historical', 'Religion', 'Book Club', 'Feminism', 'Adult']","Her name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons. Told in Dinah's voice, this novel reveals the traditions and turmoils of ancient womanhood—the world of the red tent. It begins with the story of her mothers—Leah, Rachel, Zilpah, and Bilhah—the four wives of Jacob. They love Dinah and give her gifts that sustain her through a hard-working youth, a calling to midwifery, and a new home in a foreign land. Dinah's story reaches out from a remarkable period of early history and creates an intimate connection with the past. Deeply affecting, The Red Tent combines rich storytelling with a valuable achievement in modern fiction: a new view of biblical women's society.",St. Martin's Press,1997,9780312353766,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405739117i/4989.jpg,https://www.goodreads.com/book/show/4989.The_Red_Tent
Modern Man in Search of a Soul,C.G. Jung,"['Psychology', 'Philosophy', 'Nonfiction', 'Spirituality', 'Science', 'Religion', 'Psychoanalysis']",A provocative and enlightening look at spiritual unease and its contribution to the void in modern civilization,Harcourt,1955,9780156612067,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327582271i/646175.jpg,https://www.goodreads.com/book/show/646175.Modern_Man_in_Search_of_a_Soul
A Grief Observed,C.S. Lewis,"['Nonfiction', 'Christian', 'Religion', 'Christianity', 'Theology', 'Memoir', 'Classics']","Written with love, humility, and faith, this brief but poignant volume was first published in 1961 and concerns the death of C. S. Lewis's wife, the American-born poet Joy Davidman. In her introduction to this new edition, Madeleine L'Engle writes: ""I am grateful to Lewis for having the courage to yell, to doubt, to kick at God in angry violence. This is a part of a healthy grief which is not often encouraged. It is helpful indeed that C. S. Lewis, who has been such a successful apologist for Christianity, should have the courage to admit doubt about what he has so superbly proclaimed. It gives us permission to admit our own doubts, our own angers and anguishes, and to know that they are part of the soul's growth.""",Harper One,2015,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439250484i/26077627.jpg,https://www.goodreads.com/book/show/26077627-a-grief-observed
A Wrinkle in Time,Madeleine L'Engle,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade']",It was a dark and stormy night.,Square Fish,2017,9781250153272,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1507963312i/33574273.jpg,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
A Dance with Dragons,George R.R. Martin,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Dragons', 'Adult']",Alternate cover edition of ASIN B004XISI4A,Bantam,2011,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1581625286i/10664113.jpg,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"['Classics', 'Horror', 'Fiction', 'Science Fiction', 'Gothic', 'Fantasy', 'School']",This is a previously-published edition of ISBN 9780143131847.,Penguin Classics,2018,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631088473i/35031085.jpg,https://www.goodreads.com/book/show/35031085-frankenstein
